文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
ComboBox.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\ComboBox.qml,26551,25.93 B,2020-10-27 08:02:10,false,14e14d914b7c5acc5afebf0f8278aaf9,ec8d6d62031d1648da0f7cf174e7fd707af73cecad3a7b1d53bb6ff06cee6eed,qml,
ComboBox.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\ComboBox.qmlc,32600,31.84 B,2022-01-06 07:51:18,false,9ef18205442902b4f607f9e0a82e5e1e,ccb4851252db647aa1017a65427e533fb0a750f5eae734a92fc6e6486bb0eb4e,qmlc,
GroupBox.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\GroupBox.qmlc,11916,11.64 B,2022-01-06 07:51:20,false,02aadb32ebd7828117778ad46e713ce5,3c548c478fb702bd23170c488a10b60db14f8506e5754050c20e71919eba1e16,qmlc,
Label.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Label.qml,3212,3.14 B,2020-10-27 08:02:10,false,1b379bbc8e1523fefe718627a99eb7d3,f29d6f9d351f71fcd906996c6a3379589333db53e867278bd0fedc6504a9ae4c,qml,
Label.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Label.qmlc,2456,2.40 B,2022-01-06 07:51:22,false,51fe93bcc8b0868d89809b3ba8503d14,c7490a445f1e0843e28dcc0d6a02e248149623e03b9b2f508bd92b1fa72be3e5,qmlc,
Menu.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Menu.qml,5447,5.32 B,2020-10-27 08:02:10,false,6df072421b299327247e0e4042bcdd19,e0df7e7bd642aa535e7ffd5c1b3ea3a1e201c80b554749b05483abe322e623fb,qml,
Menu.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Menu.qmlc,6360,6.21 B,2022-01-06 07:51:28,false,97e1f5028222b4d9c2b505bf1e00ca85,3690eeeab6c13f09ddab691f113f8e6d936c2548e5cf6f49164765aab3af3205,qmlc,
MenuBar.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\MenuBar.qml,13079,12.77 B,2020-10-27 08:02:10,false,5893cd63cd0cf9808a8f0c08ff78b8d9,d00319c39c5d8aba32d480e8a7543b7e9b2913951fe24037c5dc89edf7f7b084,qml,
MenuBar.qmlc,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\MenuBar.qmlc,25688,25.09 B,2022-01-06 07:51:26,false,400c5f22f2f4649b3f7e33b8ec96851e,aae6ec06c7a00402f81c91eba76eab6ca928432234422546fbbd816f82e9b597,qmlc,
AbstractCheckable.qml,temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\AbstractCheckable.qml,6050,5.91 B,2020-10-27 08:02:10,false,2334b6238eaccb034d39a6ad6e1cd87c,f1ec6b3620b6eb0b3d435ce92607fc3e6a229716595938b5ba2e616b8fad5bc8,qml,
